# WL(nm)	 Flux(ergs/cm**2/s/nm)
0.5	6.318e+03
1.5	3.382e+05
2.5	6.996e+03
3.5	1.165e+04
4.5	1.715e+04
5.5	2.132e+04
6.5	2.019e+04
7.5	1.440e+04
8.5	1.308e+04
9.5	7.639e+03
10.5	3.131e+03
11.5	1.555e+03
12.5	8.120e+02
13.5	9.054e+02
14.5	9.895e+03
15.5	7.565e+03
16.5	1.571e+04
17.5	2.316e+05
18.5	1.329e+05
19.5	9.423e+04
20.5	9.054e+04
21.5	4.351e+04
22.5	4.739e+04
23.5	1.057e+04
24.5	2.202e+04
25.5	5.424e+04
26.5	1.861e+04
27.5	3.919e+04
28.5	3.956e+04
29.5	2.023e+04
30.5	2.891e+05
31.5	5.502e+04
32.5	7.366e+04
33.5	7.241e+04
34.5	3.208e+04
35.5	2.743e+04
36.5	3.345e+04
37.5	5.756e+03
38.5	2.468e+03
39.5	2.427e+03
40.5	4.071e+03
41.5	7.532e+03
42.5	1.997e+03
43.5	4.582e+03
44.5	1.826e+03
45.5	2.008e+03
46.5	7.232e+03
47.5	2.882e+03
48.5	4.807e+03
49.5	1.650e+04
50.5	6.991e+03
51.5	2.390e+03
52.5	4.082e+03
53.5	3.103e+03
54.5	2.015e+03
55.5	9.009e+03
56.5	2.738e+03
57.5	2.716e+03
58.5	1.535e+04
59.5	3.236e+03
60.5	1.295e+04
61.5	4.052e+03
62.5	1.751e+04
63.5	4.411e+03
64.5	1.016e+03
65.5	7.973e+02
66.5	7.112e+02
67.5	7.283e+02
68.5	2.508e+03
69.5	1.853e+03
70.5	4.877e+03
71.5	2.130e+03
72.5	1.595e+03
73.5	2.079e+03
74.5	2.561e+03
75.5	3.917e+03
76.5	9.900e+03
77.5	8.972e+03
78.5	1.266e+04
79.5	5.947e+03
80.5	6.109e+03
81.5	6.942e+03
82.5	1.026e+04
83.5	1.751e+04
84.5	1.274e+04
85.5	1.418e+04
86.5	1.504e+04
87.5	1.790e+04
88.5	2.046e+04
89.5	2.488e+04
90.5	2.931e+04
91.5	2.243e+04
92.5	6.221e+03
93.5	5.454e+03
94.5	3.887e+03
95.5	2.254e+03
96.5	2.344e+03
97.5	4.195e+04
98.5	4.771e+03
99.5	7.357e+03
100.5	2.983e+03
101.5	3.447e+03
102.5	3.146e+04
103.5	3.249e+04
104.5	4.758e+03
105.5	4.026e+03
106.5	3.832e+03
107.5	4.068e+03
108.5	6.826e+03
109.5	4.593e+03
110.5	4.897e+03
111.5	4.493e+03
112.5	4.894e+03
113.5	3.823e+03
114.5	2.586e+03
115.5	4.250e+03
116.5	4.803e+03
117.5	2.043e+04
118.5	5.409e+03
119.5	1.798e+04
120.5	5.678e+03
121.5	2.733e+05
122.5	2.007e+03
123.5	1.424e+03
124.5	1.083e+03
125.5	1.026e+03
126.5	1.514e+03
127.5	7.950e+02
128.5	6.503e+02
129.5	7.651e+02
130.5	6.117e+03
131.5	9.981e+02
132.5	7.644e+02
133.5	7.280e+03
134.5	6.810e+02
135.5	1.554e+03
136.5	1.009e+03
137.5	1.073e+03
138.5	1.063e+03
139.5	3.119e+03
140.5	2.590e+03
141.5	1.526e+03
142.5	1.648e+03
143.5	1.921e+03
144.5	1.870e+03
145.5	2.010e+03
146.5	2.499e+03
147.5	3.103e+03
148.5	3.163e+03
149.5	2.852e+03
150.5	3.179e+03
151.5	3.437e+03
152.5	4.329e+03
153.5	4.811e+03
154.5	8.561e+03
155.5	7.073e+03
156.5	7.113e+03
157.5	6.430e+03
158.5	6.184e+03
159.5	6.180e+03
160.5	6.948e+03
161.5	8.146e+03
