# (dyne/cm2) (K)     (cm2/s)
Pressure	Temp	Kzz
2.000e+06	323.7	9.986e+04
1.649e+06	268.7	9.972e+04
1.359e+06	234.5	9.959e+04
1.121e+06	227.8	9.947e+04
9.239e+05	224.0	9.944e+04
7.617e+05	221.5	9.944e+04
6.280e+05	219.9	9.944e+04
5.177e+05	218.7	9.944e+04
4.268e+05	218.0	9.944e+04
3.519e+05	217.5	9.944e+04
2.901e+05	217.1	9.803e+04
2.392e+05	216.9	9.332e+04
1.972e+05	216.7	7.506e+04
1.626e+05	216.6	4.758e+04
1.340e+05	216.3	2.667e+04
1.105e+05	216.3	1.589e+04
9.109e+04	216.3	1.042e+04
7.509e+04	216.3	8.061e+03
6.191e+04	216.3	6.928e+03
5.104e+04	216.2	6.233e+03
4.208e+04	216.2	6.013e+03
3.469e+04	216.2	6.003e+03
2.860e+04	216.2	6.139e+03
2.358e+04	216.2	6.814e+03
1.944e+04	216.2	7.784e+03
1.603e+04	216.2	8.903e+03
1.321e+04	216.2	1.005e+04
1.089e+04	216.2	1.134e+04
8.980e+03	216.2	1.282e+04
7.403e+03	216.2	1.458e+04
6.103e+03	216.2	1.680e+04
5.032e+03	216.2	1.904e+04
4.148e+03	216.2	2.146e+04
3.420e+03	216.2	2.407e+04
2.820e+03	216.2	2.692e+04
2.324e+03	216.2	3.014e+04
1.916e+03	216.2	3.361e+04
1.580e+03	216.2	3.721e+04
1.302e+03	216.2	4.138e+04
1.074e+03	216.2	4.665e+04
8.853e+02	216.2	5.257e+04
7.298e+02	216.2	5.885e+04
6.017e+02	216.2	6.565e+04
4.961e+02	216.2	7.346e+04
4.090e+02	216.2	8.255e+04
3.372e+02	216.2	9.077e+04
2.780e+02	216.2	9.895e+04
2.292e+02	216.2	1.076e+05
1.889e+02	216.2	1.168e+05
1.558e+02	216.2	1.264e+05
1.284e+02	216.2	1.375e+05
1.059e+02	216.2	1.495e+05
8.728e+01	216.2	1.620e+05
7.195e+01	216.2	1.750e+05
5.932e+01	216.2	1.895e+05
4.890e+01	216.2	2.057e+05
4.032e+01	216.2	2.239e+05
3.324e+01	216.2	2.435e+05
2.740e+01	216.2	2.636e+05
2.259e+01	216.2	2.856e+05
1.862e+01	216.2	3.094e+05
1.536e+01	216.2	3.332e+05
1.266e+01	216.2	3.584e+05
1.044e+01	216.2	3.852e+05
8.604e+00	216.2	4.174e+05
7.093e+00	216.2	4.509e+05
5.848e+00	216.2	4.870e+05
4.821e+00	216.2	5.274e+05
3.975e+00	216.2	5.764e+05
3.277e+00	216.2	6.268e+05
2.702e+00	216.2	6.790e+05
2.227e+00	216.2	7.333e+05
1.836e+00	216.2	7.940e+05
1.514e+00	216.2	8.605e+05
1.248e+00	216.2	9.258e+05
1.029e+00	216.2	9.841e+05
8.482e-01	216.2	9.886e+05
6.993e-01	216.2	9.930e+05
5.765e-01	216.2	9.939e+05
4.753e-01	216.2	9.939e+05
3.919e-01	216.2	9.939e+05
3.231e-01	216.2	9.939e+05
2.663e-01	216.2	9.939e+05
2.196e-01	216.2	9.939e+05
1.810e-01	216.2	9.939e+05
1.492e-01	216.2	9.939e+05
1.230e-01	216.2	9.939e+05
1.014e-01	216.2	9.939e+05
8.362e-02	216.2	9.939e+05
6.894e-02	216.2	9.939e+05
5.684e-02	216.2	9.939e+05
4.686e-02	216.2	9.939e+05
3.863e-02	216.2	9.939e+05
3.185e-02	216.2	9.939e+05
2.626e-02	216.2	9.939e+05
2.165e-02	216.2	9.939e+05
1.785e-02	216.2	9.939e+05
1.471e-02	216.2	9.939e+05
1.213e-02	216.2	9.939e+05
1.000e-02	216.2	9.939e+05
