# (dyne/cm2) (K)     (cm2/s)
Pressure	Temp	Kzz
1.500e+06	350.9	6.515e+05
1.243e+06	334.0	6.515e+05
1.029e+06	318.2	6.515e+05
8.527e+05	303.5	6.515e+05
7.064e+05	290.5	6.300e+05
5.852e+05	279.5	6.300e+05
4.848e+05	269.3	6.300e+05
4.016e+05	260.0	6.300e+05
3.327e+05	251.7	5.811e+05
2.756e+05	245.0	4.444e+05
2.283e+05	239.6	1.696e+05
1.891e+05	234.9	7.711e+04
1.567e+05	230.6	4.057e+04
1.298e+05	222.8	3.035e+04
1.075e+05	219.7	2.530e+04
8.906e+04	217.4	2.471e+04
7.378e+04	215.6	2.553e+04
6.112e+04	214.3	2.766e+04
5.063e+04	213.4	3.112e+04
4.194e+04	212.8	3.641e+04
3.474e+04	212.3	4.256e+04
2.878e+04	212.0	4.936e+04
2.384e+04	211.8	5.667e+04
1.975e+04	211.6	6.497e+04
1.636e+04	211.5	7.448e+04
1.355e+04	211.4	8.489e+04
1.123e+04	211.4	9.589e+04
9.301e+03	211.3	1.081e+05
7.705e+03	211.3	1.222e+05
6.383e+03	211.3	1.390e+05
5.288e+03	211.3	1.590e+05
4.380e+03	211.3	1.867e+05
3.629e+03	211.3	2.179e+05
3.006e+03	211.3	2.521e+05
2.490e+03	211.3	2.894e+05
2.063e+03	211.3	3.456e+05
1.709e+03	211.3	4.018e+05
1.416e+03	211.3	4.670e+05
1.173e+03	211.3	5.450e+05
9.714e+02	211.3	6.341e+05
8.047e+02	211.3	6.846e+05
6.666e+02	211.3	7.056e+05
5.522e+02	211.3	7.056e+05
4.575e+02	211.3	7.056e+05
3.790e+02	211.3	7.056e+05
3.139e+02	211.3	7.056e+05
2.601e+02	211.3	7.056e+05
2.154e+02	211.3	7.056e+05
1.785e+02	211.3	7.056e+05
1.478e+02	211.3	7.056e+05
1.225e+02	211.3	7.056e+05
1.015e+02	211.3	7.056e+05
8.405e+01	211.3	7.056e+05
6.962e+01	211.3	7.056e+05
5.768e+01	211.3	7.056e+05
4.778e+01	211.3	7.056e+05
3.958e+01	211.3	7.056e+05
3.279e+01	211.3	7.056e+05
2.716e+01	211.3	7.056e+05
2.250e+01	211.3	7.056e+05
1.864e+01	211.3	7.056e+05
1.544e+01	211.3	7.056e+05
1.279e+01	211.3	7.056e+05
1.060e+01	211.3	7.056e+05
8.778e+00	211.3	7.056e+05
7.272e+00	211.3	7.056e+05
6.024e+00	211.3	7.056e+05
4.990e+00	211.3	7.056e+05
4.134e+00	211.3	7.056e+05
3.424e+00	211.3	7.056e+05
2.837e+00	211.3	7.056e+05
2.350e+00	211.3	7.056e+05
1.947e+00	211.3	7.056e+05
1.613e+00	211.3	7.056e+05
1.336e+00	211.3	7.056e+05
1.107e+00	211.3	7.056e+05
9.168e-01	211.3	7.056e+05
7.594e-01	211.3	7.056e+05
6.291e-01	211.3	7.056e+05
5.212e-01	211.3	7.056e+05
4.317e-01	211.3	7.056e+05
3.576e-01	211.3	7.056e+05
2.963e-01	211.3	7.056e+05
2.454e-01	211.3	7.056e+05
2.033e-01	211.3	7.056e+05
1.684e-01	211.3	7.056e+05
1.395e-01	211.3	7.056e+05
1.156e-01	211.3	7.056e+05
9.575e-02	211.3	7.056e+05
7.932e-02	211.3	7.056e+05
6.571e-02	211.3	7.056e+05
5.443e-02	211.3	7.056e+05
4.509e-02	211.3	7.056e+05
3.735e-02	211.3	7.056e+05
3.094e-02	211.3	7.056e+05
2.563e-02	211.3	7.056e+05
2.124e-02	211.3	7.056e+05
1.759e-02	211.3	7.056e+05
1.457e-02	211.3	7.056e+05
1.207e-02	211.3	7.056e+05
1.000e-02	211.3	7.056e+05
